aalug-alog	shaky, rickety
pag-aampon	adoption
pag-aangkát	(n) importation; importing.
pag-aanib	(n) act of allying or affiliating.
pag-aaprúb	(n) approving; approval.
pag-aapurá	(n) hurrying.
pag-aaral	(n) studies; education; learning, a study/research report
pag-aarì	(n) property; owning; possession.
pag-áarugâ	(n) care; looking after.
pag-aasawa	(n) act of getting married; marriage.
pag-aasikaso	(n) things needing attending to.
pag-áatubilí	(n) indecision; hesitating; hesitancy; wavering.
pag-aaway	(n) contention; dispute; clash.
pag-aayós	(n) negotiations; settlement; organization.
pag-abuso	(n) abuse; abusing.
pag-agos	(n) flowing; pouring out.
pag-akay	(n) guidance.
pag-akyát	(n) ascension; climbing; climb.
pag-alanganan	to hesitate about something
pag-alís	(n) leaving; departure.
pag-alóg	(n) shaking.
pag-amin	(n) admission of guilt; confession.
pag-amyendá	(n) amendment.
pag-andár	(n) working; running.
pag-angát	(n) raising.
pag-angkín	(n) appropriation.
pag-apruba	(n) approval.
pag-arte	(n) acting (in a movie/TV series/play/etc.).
pag-asa	(n) hope; trust; dependence; chance; anticipation; romantic hope.
pag-asa	hope
pag-asenso	(n) growth; ascension.
pag-atake	(n) attack.
pag-awayan	to quarrel about something
pag-ibig	love
pag-ingatan	to take care of something
pag-íisá-isá	enumeration
pag-unawà	(n) understanding, comprehension
pag-úsad	pagkilos sa pamamagitan ng puwit
pag-usapan	to converse (ng, typically plural) about something (ang)
pag-uusig	investigation, persecution
pag-uwi	upon returning home
pagalingin	to heal
pagaspás	flapping of wings, cloths, curtains, etc.; sound made by such flapping
pagawâ	alternate of ipagawâ
pagawaan	factory, place where things are made
pagbabago	repeated/multiple changes
pagbabarilín	to shoot up something/somewhere; to shoot down something
pagbangon	rebuilding; rising from a lying position
pagbasura sa kaso	throwing out the (legal) case
pagbayaran	to pay for something
pagbibigay	providing
pagbibigay-katauhan	(personification)
pagbidahan	to star in something (movie, TV show, etc.)
pagbigyán	to give in/accommodate/oblige/concede to someone
pagbilhán	to sell to someone; to sell somewhere
pagbintangan	to be accused of something
pagbubukas	the time being open, as in a store
pagbukud-bukurin	to sort, classify
pagdaanan	to go through/endure something; to bring something to someone
pagdadalamhatì	mourning, grief (dalamhati)
pagdatíng	upon arriving, when arrived; when it comes to / as for / as far as / regarding.. (pagdating sa)
pagdikitin	to stick things together
pagdinig	a hearing (judicial, etc.)
pagdiriwang	ceremony, celebration
pagdugo	bleeds / act of bleeding
pagdurugo	bleeding
paggalang	respecting
paggambala	interruption
paggigiit	assertion, insistence of one's rights
paggunita	remembrance, memorial
paghahain	filing (a bill, application, etc.
paghahanda	preparation, provision
paghakbáng	stepping
paghamak	insult, contempt, belittling
pagharap	facing in a certain direction; attention given; appearance
paghíhinalaan	will suspect someone of
paghihinuhà	inferring
paghingá	respiration
paghinto	stoppage, intermission
paghirapan	to work hard for something; to strain for something
pagi	stingray
pagitan	intervening space, aisle; interval
pagka-may-arì	ownership, possession
pagkabatà	childhood, the state of being young
pagkabulag	blindness
pagkaganId	greed
pagkagising	upon waking
pagkáisahán	(isa) to gang up on; to be ganged up on; to have consensus
pagkaitan	to refuse (pinagkakaitan, pinagkaitan, pagkakaitan)
pagkakaalam	knowledge
pagkakábuhól	a knot
pagkakagusto	the state of liking someone or something, infatuation
pagkakáisa	unity
pagkákakilanlán	identity; individuality
pagkakámali	mistake
pagkakaroon	having, availability
pagkakasabi	how something was said
pagkakasundo	consensus
pagkakátaón	an opportunity or occasion, an occurance (a 'time') (pangalawang pagkakataon -> 2nd chance)
pagkakautang	debt, indebtedness, debit; bill; loan
pagkalakhán	to grow up with someone (laki)
pagkalipas	passing, passage, having passed (also paglipas)
pagkalito	confusion
pagkaloobán	to be provided with/endowed with/granted something
pagkamahiyain	bashfulness, shyness, modesty, timidity
pagkámalán	to mistake someone/something (for something else); to misconstrue something
pagkamapanlikha	originality
pagkamasarili	egotism
pagkamatáy	death
pagkásunduán	to agree on something
pagkat	because, whereas, considering that (sa pagkat, sapagkat)
pagkatalo	defeat
pagkatao	character, nature/essence/being (of a person)
pagkátiwalaan	to trust someone/thing, to entrust to the care of, consign, relegate, confide (tiwala)
pagkukúsa	initiative
paglabág	violating; in violation
paglaki	growing, development
paglalaán	appropriation; reserving
paglalabada	the washing of clothes
paglalakad	act of walking
paglalarawan	description; describing; depiction
paglalayág	a sea trip, travel by sea
paglaon	eventually
paglaruán	to play (with) something; to toy/trifle with someone
pagliban	absence
paglikha	the act of creating / creation ; invention
paglilitis	judicial hearing (pagdinig)
paglipas	passing, passage, having passed (also pagkalipas)
paglutás	act of solving; resolve
pagmamalabis	(hyperbole)
pagmamalupit	abuse, harsh treatment
pagmamano	the bringing of an elder's hand to your forehead to show respect (also 'mano')
pagmasdán	to look at something attentively; to carefully observe something.
pagmulán	to be the source or cause of something
pagmultahin	to make someone pay a fine
pagnanakaw	burglary, stealing, larceny
pagnanasà	yearning, desire
pagód	tired
págod	exhaustion, tiredness
pagod	tired
pagóng	turtle
pagpag	shake off, as in clothes etc.; dumpster food; ghost (multo)
pagpanaw	sudden disappearance, departure, death
pagpapahalaga	importance, regard, appreciation, regard
pagpapahamak	endangering or causing misfortune
pagpapakundángan	kilos na nagpapakíta ng paggálang o pagsasaalang-alang lalo na sa nakatatanda at maykapangyarihan
pagpapalagô	growth
pagpapalaya	liberation
pagpapaliban	postponement
pagpapalit-saklaw	(synecdoche)
pagpapalit-tawag	(metonymy)
pagpapasiyá	a decision or determination
pagpapayaman	enrichment
pagpasensyahán	to have patience with someone
pagpasláng	(n) killing (also pasláng)
pagpulungan	to have a meeting about something
pagpupumilit	the act of coercing
pagsabihan	to say something to someone; to reprimand someone, to scold someone, to correct someone
pagsalitain	to say something to <someone>
pagsama	joining, combining
pagsamantalahán	to take advantage of someone/something
pagsápit	upon arrival; approaching, arriving, coming, eventuality
pagsasalin	translation
pagsasáma	relationship
pagsasatao	personification (also pagsasakatao)
pagsikapan	to try, attempt
pagsikil	suppression
pagsikláb	blazing, outbreak
pagsisikap	attempt, effort, enthusiasm, zeal
pagsulong	progress
pagsumikapan	to strive
pagsusuri	research, study, analysis
pagtákas	escaping (pag-alis nang walang permiso)
pagtakpán	to cover up; to whitewash (takíp)
pagtaksilán	to betray or cheat on someone
pagtaluhan	to argue about something
pagtanggal	removal
pagtanggap	a welcoming; reception; acceptance
pagtantiya	calculation; the act of estimating
pagtatagpô	meeting, appointment
pagtatakíp	(n) camouflage; (the act of) covering (takíp)
pagtátalagá	appointment; dedication
pagtatanggál	removal
pagtatatô	tattooing
pagtawanán	to make fun of/laugh at/mock someone or something
pagtiisan	to endure something (free alt/dialectical of tiisin)
pagtugtog	performance on a musical instrument
pagtutol	resistance
pagtutulad	a simile
pagtutuloy	continuation
pagtutunton	giving guidance at the start
pagulungin	to roll an object; cause to roll
pagwawangis	(metaphor)
pahalaga	valuation, act of valuing, evaluation
pahalagahan	give importance to, appreciate, esteem, think highly of (pinapahalagahan, pinahalagahan, papahalagahan)
pahám	a very learned, erudite person; potency of wine, liquor or medicine (uncommon.  also "paháng")
pahámak	a person or thing who brings bad luck or misfortune (kapahamakán)
pahayag	proclamation, public announcement, declaration
pahayagan	newspaper
pahilig	slantwise (hilig)
pahina	a page of paper
pahinanakIt	'in an injured manner' (cf. maghinanakit 'have injured feelings')
pahinante	could refer to a porter, stevedore (unloading cargo from ships at dock), member of a ship’s crew, personal driver, personal aide or assistant
pahingá	rest, relaxation, day off; resperation (hinga)
pahingahan	a comfortable and informal room in which one can lounge and be at ease (silid-pahingahan)
pahingi	"please give me.." (hingi. var: "pengi")
pahintulot	permission, authorization
pahinuhod	consent, agreement, acquiescence, assent
pahirám	"may I borrow...(ng)"; something lent
pahirap	burden
pahiwátig	a hint, impression, subtle inadvertent suggestion
pailaw	a light
pakahulugan	interpretation
pakainin	to feed
pakana	plan, project, machination; an evil plot, deceitful plan
pákay	purpose, aim
pake	(pakialam) to have a shit to give. (anong pake ko? wala akong pake!)
paki-abot	"please pass.."
paki-bilis	please hurry
pakialám	caring/concern; busybody, meddler
pakikiapíd	fornication
pakikibagay	conforming, adaptation
pakikipag-usap	conversation
pakikipag-ugnayan	interaction
pakikisama	getting along with others
pakilinis	please clean..
pakinabang	earnings, gain, profit (root: kinabang)
pakipasa	please pass along
pakiramdám	feeling (n/v)
pakisabi	"please tell"
pakisuyò	"please"
pakiusap	a plea, a request/petition as in an announcement
pakitang-tao	superficial, pretense, for show, insincere
pako	a nail
pakO	a fern
pakpák	wing
paksa	fact, topic, subject, the main idea, point of contention
pakumbabâ	modest, humble (also mapagpakumbabâ)
pakundanganan	respect
pakyu	fuck you
palá	expression of realization; indicates change in topic, as "by the way"
pála	a shovel
palaasá	hopeful
palaaway	belligerent
palabán	feisty
palabás	a movie, show, program 
palabaybayan	spelling
palabirô	fond of joking
paláboy	vagabond, bum, loafer, waif; free to graze anywhere
palad	palm of the hand; destiny, luck, fortune, fate
palagáy	opinion, estimation, estimate, assumption (lagay)
palagian	regular, steady (lagi)
palainom	habitual drinker (pala-)
palakâ	frog
palakaibigan	friendly (pala-)
palakasan	a competition to see who’s stronger
palakasan	a strength competition
palakasin	to strengthen something
palakól	axe
palamigan	a cooler
palamigin	to chill, refrigerate, make cold, cool (pinalamig, pinalalamig, palalamigin) 
palamutî	decoration
palangiti	always smiling
palapág	downwards; floor (storey) of a building
palapit	oncoming, approaching
palásingsingan	ring finger
palatanong	inquisitive
palatanungan	questionnaire
palatawa	has a tendency to always laugh
palatuntunan	statute
palatutol	having a tendency to correct others
palautós	bossy
palawakin	to expand even more
palawigin	to extend the time
palay	unhusked rice grains
palaya	free
palayain	to free someone/something
palayán	rice field, rice paddy
paláyaw	nickname, sobriquet
palayo	getting further away
palayók	earthen pot
palda	skirt
palengke	a traditional marketplace, especially a wet market
paliban	postponement
palibhasa	"for this reason", expresses that what follows is stated as a reason (also palibasa)
palibhasa	the reason being..., because; seeing as; knowing that; for as much; to the end that; (often used sarcastically)
paligid	vicinity; circumference
páligsahan	a competition
palihis	deviated, deflected, erroneous, incorrect
palikuran	a toilet, especially an outhouse
palimós	begging; request for money from beggars
palipasin	let pass; pass, use, spend (one's time)
palípat-lípat	hopping from place to place
palit	exchange, substitute, replace
palitan	exchange, exchange rate
paliwanag	explanation
palpak	failure, badly done - cannot be redeemed or justified
palso	false; deceitful; spurious
paltik	homemade gun; a blow from a whip or lash; a slingshot
palugit	extension, reprieve; handicap (in a game)
palupot coil, twine, entwine, wrap (also pulupot)
paluwágan: sistema ng halinhinang pag-utang mula sa pondong hinuhulugan ng lahat ng umuutang (a money pooling scheme)
pamagát	title
pámahalaán	government (pang-bahala-an)
pamahiin	superstition
pamalagiin	to stabilize
pamamagitan	intercession, intervention, mediation
pamamaríl	shooting, gunning, hunting
pamangkín	niece or nephew
pamantásan	university
pamasahe	money used to pay for fare (transport)
pamatay-apoy	fire extinguisher
pamaypáy	fan (manual); paper fan; folding fan
pambansâ	national
pambatà	for kids; infantile
pamigay	giveaway
pamilíhan	market, marketplace (bili)
pamiliin	to let someone choose
pamilya	family
paminsan-minsan	occasionally, from time to time
pampang	river bank (origin of the name "Pampanga"), or shore of sea, etc.
