(mga) baryá	coins
masúkal na landas	weedy path
masúkal	weedy
Masyado mong sineryoso ang pagkakagusto ko sa iyo.	You took my liking you way too seriously.
masyadong matagal	takes too long
masyadong puno	too full, overloaded
masyadong seryoso	too serious
Mataas ang bakod.	The fence is high.
mataas ang grado	has a high grade
Mataas ang respeto ko sa kanila.	I have a lot of respect for them.
mataas ang tingin kay Ana	looks up to Ana
mataas ang tono	high pitched
Mataas ang tubig-bahâ.	The flood water is high.
mataas na gusali	tall building
mataás na kapulungán: isa sa kapulungan ng batasang bikameral,	karaniwang binubuo ng mga pambansang kinatawan
mataás na paaralán: antas ng edukasyon na kasunod ng mababang paaralan	at sinusundan ng kolehiyo
mataás	tall, high
mataás	tall, high
Mataba ako.	I’m fat.
Matabâ ang baboy.	The pig is fat.
matagal	takes a long time
matagpuán	to happen to find, discover
matagumpay	successful
matakot	to be afraid
matalas ang matá	sharp-eyed
Matalino ang anak ko.	My child is smart.
Matalino ang anák ko.	My child is smart.
Matalino ang bata.	The child is smart.
Matalino ang batà.	The child is smart.
Matalino ka.	You’re smart.
matalino	intelligent, smart
matalíno	smart, bright
matalinong bata	smart kid
matalinong bata	smart kid
matamaan	to be hit
matamaan	to be hit by a bullet, stone, etc.
matamaan	to get high on drugs (slang)
matambakan	to be blocked up, oversupplied
matamis na alaála	sweet memory
matamis na lasa	a sweet flavor
matamis	sweet
matamisin	to make sweet
matanawan	to see from a distance
Matandâ ka sa akin.	You’re older than I am.
matandâ: ginamit sa mahabàng panahon o nagpapakíta ng mga katangian ng	gayong pagkagamit
matandâ: kung sa tao, nabúhay nang matagal na panahon; o hindi na	kabataan
matandang babae	old woman
matandang lalaki	old man
matandang matanda	very old
matanong	inquisitive
matanto	be able to comprehend
matanto	to realize
matao	crowded with people
matapang na babae	brave woman
matapang na lalaki	brave man
matapos ang ilang sandali	after a few moments
Matapos ang Panganganak	After Giving Birth
matapos	afterwards
matapos	to be completed
mataranta	to be confused
matataas na gusali	high buildings
matatag	firm, sturdy
matatág	immovable
matatag	uncompromising
matatahanan	livable
matatalinong (mga) bata	smart kids
matatalinong bata	smart kids
matatamis na alaála	sweet memories
matatamis na labì	sweet lips
matatamis na sandali	sweet moments
matatangkad na lalake	tall men
Matatapang sila.	They are brave.
matauhan	to recover consciousness
Matayog ang lipad ng mga lawin.	Hawks fly loftily.
matibay	sturdy, hardy, tough, strong
matigas ang úlo	hardheaded
matigas	hard, tough, stiff
Matindi ang away.	The fight is intense.
Matindi ang ensayo.	The practice is intense.
matindi	intense, severe, extreme
matinding “istres”	extreme stress
matinding kulay	intense color
matinding problema ng lipúnan	serious problem of society
matinding sakit	intense pain
matinding selos	intense jealousy
matinding-matindi	very severe
matinik	bony
matinik	thorny
Matira ang matibay.	May the strong survive.
Matuling lumarga ang sasakyan.	The vehicle sped forward.
Matulog ka muna.	Sleep first.
Matulog ka na rin.	You go to sleep as well.
matulog	to sleep
matulungin	helpful, cooperative
Matumal ang negosyo ko ngayon.	My business is slow these days.
matuwa	to enjoy, have fun
matwíd	first, just, legitimate
Maulan ba sa Pilipinas?	Is it rainy in the Philippines?
maulan	rainy
maulila	to be orphaned
Mausok dito.	It’s smoky here.
mausok	smoky
mautak	brainy
mauwi	to develop into, to happen as a result
mawala	be lost
mawala	disappear
mawala	vanish
Mawalang-galang na po…	Apologies for being disrespectful, but…
mawalay	to be separated, weaned away from
mawawala	will vanish
May (mga) gálos sa buong katawan.	Has scratches all over the body.
May atraso ako sa kanila.	I did something to them. (And now they have a score to settle with me.)
May bágo ba?	Is there something new?
May bagong kautusan ang hari.	The king gave a new command.
May bagong kautusan.	There’s a new order.
May bagyó.	There’s a storm.
May bahid ng toyo ang kamiseta.	The shirt has a stain of [66]soy sauce.
May bakas ng dugo.	There’s a trace of blood.
may bakas	to have a trace
May bakuna laban sa trangkaso.	There’s a vaccine against the flu.
May banggaan doon.	There’s a collision (likely a car accident) over there.
May banta sa kanyang buhay.	There’s a threat on his/her life.
May banyo ba doon?	Is there a bathroom there?
May banyo ba?	Is there a bathroom?
May barilan na naman sa baryo namin.	There’s a gun battle again in our barrio.
May binabalak akong gawin.	There’s something I’m planning to do.
may binabalak	planning something
May bukas pa.	There’s still tomorrow.
May búlo sa balat.	Has fuzz on the skin.
May dagâ dito.	There’s a mouse here.
May dagâ sa loob.	There’s a mouse inside.
May dagdág.	Has something extra.
May dalawang pakpak ang ibon.	A bird has two wings.
May duda ako.	I have my doubts.
May gagawin ako.	I have something to do.
May gagawin pa ako.	I still have something to do.
May gana akong kumain.	I felt like eating.
may gana	to feel like, to have an appetite
May himalang naganap.	There was a miracle that happened.
May isang salita…	There is a word…
May itak sa bandila ng Angola.	There’s a machete on Angola’s flag.
May kahirapan ito.	There’s some difficulty in this.
May kasalan sa Sabado na hindi ko alam?	There’s a wedding on Saturday that I don’t know (about)?
May kasáma akong kaibigan.	I have a friend with me.
May kasama ka ba?	Do you have someone with you?
May kasamang lapis ba ang libro?	Does the book come with a pencil?
may katok sa ulo	slang for “crazy”
May kumakatok sa pinto.	There’s someone knocking on the door.
May kumakatok.	There’s someone knocking.
May kumpiyansa ako sa iyo.	I have confidence in you.
May kumpiyansa ako.	I have confidence.
may kumpiyansa	to have confidence
May kuwento ako.	I’ve got a story.
May lákad ako mamaya.	I have business to go to later.
May mensahe ako para sa iyo.	I have a message for you.
May mensahe ako para sa kanila.	I have a message for them.
May mensahe ako para sa kanya.	I have a message for him/her.
May mensahe ka ba para sa akin?	Do you have a message for me?
May mga ahas na makamandag at mayroon namang hindi.	There are snakes that are venomous and there are those that are not.
May mga gálos sa mukha’t braso.	Has scratches on the face and arms.
May multó sa bahay.	There’s a ghost in the house.
May nagawa akong mali.	I did something wrong.
May nagmumulto dito.	There’s something haunting this place.
May nagsabi na ang pambansang sayaw ng Pilipinas ay Karinyosa daw.	Someone said the national dance of the Philippines is the [67]Cariñosa.
May nanilip.	Someone peeked.
May naninilip.	Someone is peeking.
May natirang sobrang pagkain.	There’s excess food that was left over.
May pera ka ba?	Do you have money?
May pera.	There is money. = Has money.
May pusang tumangay sa pritong isda.	There was a cat that snatched and carried away the fried fish.
May sakit ako.	I’m sick.
May sakit ang sanggol.	The infant is sick.
May sakit ka ba?	Are you sick?
May sakit yata ako.	I think I may be sick.
May suklay ka ba?	Do you have a comb?
May sunog.	There’s a fire.
May tanong ako.	I have a question.
May tao ba sa labás?	Is there a person outside?
May tao sa bahay.	There is a person in the house.
May tao.	There is a person.
May tumutol sa kasal.	Someone objected to the marriage.
Mayaman ang pamilya niya.	His/her family is rich.
Mayaman sila.	They are rich.
mayaman	rich, wealthy
mayamang-mayaman	very rich
may-arì	owner
maylupa	landowner
Maynila sa mga Pangil ng Dilim	Manila in the Fangs of Darkness
Mayo	= May
Mayroon silang kani-kanilang problema.	They each have their own problems.
Mayroon.	There is.
may-tali	tied
Mensahe Kay Tatay	Message For Dad
Mensahe Para sa Pasko	Message for Christmas
Meron kang pera?	You have money?
Meron pa ba?	Is there more?
Meron pa?	There’s more?
mga aklat	books
mga alaála ni Pedro	Peter’s memories
mga alagad	followers, disciples
mga anák ko	my children
mga apó	grandchildren
mga babala sa daan	road warnings
mga bagà	lungs
mga bagong salta mula sa probinsya	newcomers from the province
Mga bakla sila.	They’re homosexuals.
mga bála	bullets, pellets, slugs
mga balikat	shoulders
mga banal na kasulatan	holy scriptures
mga banal na lupain	holy lands
mga bangkay	corpses
mga bangketa	sidewalks
mga bangketang pwedeng lakaran ng mga tao	sidewalks on which people can walk
mga banyagang salita	foreign words
mga barkadang baliw	crazy chums
mga barkó	ships
mga báso	glasses
mga batà	children
mga bata’t matatanda	the young and the old = young and old people
mga batas ng lipúnan	laws of society
mga batás	laws
mga binata	bachelors, young men
mga biyahero	travellers
Mga biyaherong magba-bagong taon sa probinsya	Traveler who will spend the new year in the province
mga bugtóng	riddles
mga bulalakaw	shooting stars
mga butil ng asukal	grains of sugar
mga butil ng perlas	beads of pearl
mga butó	bones
Mga buwang sila.	They’re crazies.
mga dagâ	rodents
mga dahon	leaves
mga daliring nakadikit sa balikat	fingers touching the shoulder
mga dayúhan	foreigners, aliens
mga detalye	details
mga galamay ng pusit	squid tentacles
mga galamáy	hands and feet
mga galamáy	helpers, enablers, cronies
mga galamáy	tentacles
mga galít na ibon	[66]angry birds
mga gálos	light scratches
mga gasgas sa tuhod	scrapes on the knee
mga gintong pangarap	golden dreams
mga gusali	buildings
Mga Halimbawa ng Tambalang Salita sa Tagalog:	Examples of Compound Words in Tagalog:
mga halimbawa	examples
mga hikaw at singsing	earrings and rings
mga himalâ	miracles
mga hiram na salita	borrowed words
mga iba	others
mga iskalawag	scalawags
mga kababayan kong Pilipino	my fellow Filipinos
mga kahingían	requirements
mga kalahating oras	about half an hour
Mga kalaro ko sila.	They are my play partners.
mga kalsada	roads
Mga kamag-anak ko sila.	They are my relatives.
mga kamalian	mistakes
mga kamay	hands
mga kampong pinagkakanlungan ng mga babae	women refugee camps
mga kapwang Pilipino	fellow Filipinos
mga karaniwang kamalian	frequent mistakes
mga karapatan sa dagat	maritime rights
mga karapatang pantao	human rights
mga karumal-dumal na krimen	heinous crimes
mga kasalukuyang pangyayari	current events
mga kasapi	members
Mga kasingkahulugan ng salitang pang-uuyam:	Synonyms for the word mockery:
Mga Kasinungalingang Sinasabi Ng Mga Lalaki	Lies Men Tell
mga kasosyo	business partners
mga katangian ng Pilipino	Filipino characteristics
mga katangian	features
mga katutubong Pilipino	native Filipinos
mga katutubong sayaw	native dances
mga kinalas-kalas na parte ng kompyuter	detached computer parts
mga kuliglíg	crickets
mga kutsilyo	knives
mga kuwento	stories
Mga Kuwentong Pagkain	Food Stories
Mga Kwentong Katatakutan	Horror Stories
mga kwentong multo	ghost stories
mga kwentong walang kwenta	worthless stories
mga lalake	men
mga lampara	lamps
mga lapida sa sementeryo	gravestones at the cemetery
mga lespung iskalawag	bad cops
mga libro na ginagamit ng mga batang nag-aaral sa elementarya	books used by children studying in grade school
mga ligáw na bala	stray bullets
mga lugar na posibleng pinagkakanlungan ng mga terorista	places that may be harboring terrorists
mga magulang	parents
mga maleta	suitcases
mga mambabatas	lawmakers, legislators, solons
mga manliligaw	suitors
mga manyakis	perverts
mga mapang-aglahi	racists
Mga Matá ni Anghelita	The Eyes of Anghelita (a TV drama)
mga matá	eyes
mga mensahe	messages
mga metalikong kulay	metallic colors
mga nakaw na sandali	stolen moments
mga nakaw na sandali	stolen moments
mga natural na kalamidad	natural calamities
mga paalala	reminders
mga pagbabago	changes
Mga Pagbati	Greetings
mga pahayagan ng komunidad	community newspapers
mga palaboy	vagrants, bums
mga pampublikong paaralan	public schools
mga paraan ng pag-aalis ng mga mantsa	methods for removing stains
mga paraan ng pagsasalin	methods of translation
mga páto	ducks
mga payong pantahanan	household tips
mga payong	umbrella
mga pinsala	damages
Mga pinsan ko sila.	They are my cousins.
mga pinsan	cousins
mga pugad	nests
mga punò	trees
mga punong aakyatan	the trees to be climbed
mga pusa	cats
mga sakit sa balat	skin diseases
mga salawikain / kawikain	proverbs
mga salita	words
mga salitang pareho ang baybay pero magkaiba ang kahulugan	words with the same spelling but different meanings
mga sampu	around ten
mga sandata	weapons, arms
mga sangkáp	ingredients
mga sapatos	shoes
mga sasakyán	vehicles
Mga Sayaw ng Pilipinas	Dances of the Philippines
mga sugaról	gamblers
mga sundálo	soldiers
mga tanga	idiots
mga táo nila	their people
mga táo	people
mga taong may damdamin	people with feelings
mga tenga	ears
mga torotot	party horns
mga tsuper ng taksi	taxi drivers
mga tula	poems
mga tulay	bridges
mga ugat sa leeg	veins in one’s neck
mga únan	pillows
mga uri ng	kinds of, types of
mga uri	kinds, types
mga	about, approximately
miming	kitty-cat
Minahal kita.	I loved you.
Minahal mo ba talaga ako?	Did you really love me?
minalas	suffered a bad turn of luck
Minsan mabuti pang magkunwari na wala kang pakialam. Sometimes it’s	better to pretend that you don’t care.
Minsan minahal kita.	I once loved you.
minsan pa	once more
Minsanan ang pagkakataong ito.	This opportunity comes once.
minsanan	used to describe a one-time thing
mismís: paglilinis sa bibig at dibdib ng paslit nang walang tumatalsik	na tubig
Mismong tatay hindi sumipot.	Even the father himself didn’t show up.
Miss mo ako?	You miss me?
Miss na kita.	[66]I miss you already.
More recently the Tagalog word aberya has also been applied to other	types of breakdown such as in negotiations or in construction work.
Mukha kang artista.	You look like a movie star.
Mukha kang baliw.	You look demented.
Mukha kang manyakis.	You look like a sex maniac.
Mukhang hinampas ang ulo.	Looks like head was smacked.
Mukhang manyakis ang bagong dating.	The newcomer looks like a sex maniac.
Mukhang may problema.	Seems there’s a problem.
Mukhang modelo.	Looks like a model.
Mukhang sira.	Looks broken.
Mukhang tinamad si Clara.	Looks like Clara got lazy.
Mukhang…	Looks…
Mula ito sa baybay na ang ibig sabihin ay ispeling.	It comes from baybay, which means “spelling.”
Mula nang naaksidente ako…	Since I was in an accident…
mula nang	from when, since
Mulâ sa aking puso.	From my heart.
Mula sa Cebu, sagság akong lumipad pa-Maynila.	From Cebu, I hurriedly flew towards Manila.
mulâ sa puso	from the heart
mulî	again
Muling dumating	Arrived again
Muling ibalik ang tamis ng pag-ibig	Bring back again the sweetness of love
múlta: anumang bayad sa nalimot bayaran o bayad sa anu-mang paglabag sa	batas
multádo	fined
multahan	to make someone pay a fine
muna	for now
mungkáhi: sa sikolohiya, ang pagpapahiwatig na isakatuparan ang isang	paniniwala ; o ang paniniwalang ito
muntî	little
Muntik na akong malunod.	I almost drowned.
musta kana (Kamusta ka na?)	How are you now? How’ve you been?
Na naman???	Yet again???
na saan kana (Nasaan ka na?)	Where are you now?
na, adv	now, already
Naaalala ko…	I remember…
Naawa sila sa akin.	They took pity on me.
